Name,Artist,Album,Track Number
Pay To Cum,Bad Brains,Bad Brains,12
Sucker M.C.'s (Krush-Groove 1),Run-D.M.C.,Ultimate Run Dmc,13
Don't Wanna Be Your Girl,Wet,Wet,3
"Outstanding (Original 12"" Mix)",The Gap Band,The Best Of The Gap Band,3
She Thinks I Still Care,George Jones,The Definitive Collection (1955-1962),22
Rosa Parks,Outkast,Aquemini,3
Vanilla Blue,Naked Raygun,Jettison,13
The Return,Cutty Ranks,Six Million Ways To Die,1
Beat Bop,"Rammellzee, K-Rob",Giant Single: Profile Records Rap Anthology,3
Work It (Promo),Missy Elliott,Under Construction (New Digital Explicit Version),4
Overload,Sugarbabes,20 Greatest Hits,18
Maps,Yeah Yeah Yeahs,Fever To Tell (EX)/Show Your Bones,9
Pony,Ginuwine,R&B: From Doo-Wop To Hip-Hop,39
Ace of Spades,Motörhead,Ace of Spades,1
Die Slow,Health,GET COLOR,2
All My Friends,LCD Soundsystem,Sound Of Silver,5
Always On My Mind (2003 Remastered Version),Pet Shop Boys,PopArt: The Hits,5
Blue Boy,Orange Juice,The Glasgow School,4
Sir Duke,Stevie Wonder,Songs In The Key Of Life,5
I Don't Mind,Buzzcocks,Singles Going Steady,3
Nipple To The Bottle,Grace Jones,The Collection,2
Toxic,Britney Spears,Greatest Hits: My Prerogative,2
The Word Girl,Scritti Politti,Cupid & Psyche 85,1
Damaged Goods (Remastered Album Version),Gang Of Four,Entertainment! (Expanded & Remastered),4
Numbers (2009 Remastered Version),Kraftwerk,Computer World (2009 Remastered Version),3
Crazy in Love,Beyoncé,Dangerously In Love,1
Transmission,Joy Division,The Best Of,5
Warm Leatherette,The Normal,Warm Leatherette/T.V.O.D.,1
Bulletproof,La Roux,La Roux,4
Dancing On My Own,Robyn,Dancing On My Own,1
Open Your Heart,Madonna,Celebration (single disc version),16
O Superman (For Massenet) (Remastered Version) (For Massenet Remastered),Laurie Anderson,Talk Normal: The Laurie Anderson Anthology,1
Cavern,Liquid Liquid,Liquid Liquid,2
I Could Never Take The Place Of Your Man,Prince,Sign 'O' The Times,13
Hot Thing,Prince,Sign 'O' The Times,8
Ice Cream (Featuring Matias Aguayo),Battles,Gloss Drop,2
Carey,Joni Mitchell,Blue,4
Stay Away,Charli XCX,True Romance,4
Common People,Pulp,Different Class,3
I Only Have Eyes For You,The Flamingos,Doo Wop Classics Vol. 1,6
Making Plans For Nigel (2001 - Remaster),XTC,Drums And Wires,1
Filler,Minor Threat,First Two 7s,1
Katy on a Mission (Album Version),Katy B,On A Mission,2
Fisherman,The Congos,Heart Of The Congos,1
Why Can't I Touch It?,Buzzcocks,Singles Going Steady,15
Jolene,Dolly Parton,Jolene,1
Tennis Court,Lorde,Pure Heroine,1
Genius Of Love,Tom Tom Club,Tom Tom Club,2
The Chain,Fleetwood Mac,Rumours,7
Stay High (Habits Remix),Tove Lo,Truth Serum,6
Les Yper-Sound,Stereolab,Emperor Tomato Ketchup,4
At Last I Am Free,Chic,C'est Chic,6
Be Thankful for What You Got,William DeVaughn,70's Soul - Groove Me,20
Across 110th Street,Bobby Womack,Midnight Mover: The Bobby Womack Story,25
Timebomb,Public Enemy,25th Anniversary Collection,4
Pass The Mic,Beastie Boys,Solid Gold Hits,6
Hit It and Quit It,Funkadelic,Maggot Brain,3
Requiem (Single Version),Killing Joke,Killing Joke (2005 Digital Remaster),10
Are 'Friends' Electric?,Tubeway Army,Replicas (Remastered),2
Everything Is Embarrassing,Sky Ferreira,Ghost EP,5
Sponji Reggae,Black Uhuru,Red,2
Climax,Usher,Looking 4 Myself (Deluxe Version),3
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,3
Tim McGraw,Taylor Swift,Taylor Swift,1
I Don't Blame You,Cat Power,You Are Free,1
Tale In Hard Time,Fairport Convention,Meet On The Ledge: The Classic Years (1967-1975),6
Buggin' Out,A Tribe Called Quest,The Low End Theory,2
Give It Up Or Turnit A Loose (Remix),James Brown,In the Jungle Groove,3
Slow,Kylie Minogue,The Best of Kylie Minogue,11
Galang,M.I.A.,Arular,13
Numbers On The Boards,Pusha T,Numbers On The Boards,1
"The Payback, Part I",James Brown,The Singles Vol. 9 (1973-1975),11
"Thank You for Talkin' to Me, Africa",Sly & The Family Stone,The Essential Sly & The Family Stone,26
Move It On Over,Hank Williams,Gold,4
Kerosene,Miranda Lambert,Kerosene,1
A Pillar of Salt,The Thermals,"The Body, The Blood, The Machine",4
Heartbeats,The Knife,Deep Cuts,1
Don't Wait,Mapei,Don't Wait,1
Cannonball,The Breeders,Last Splash,2
Ghost Town (Extended Version),The Specials,The Best Of The Specials,16
Pink Moon,Nick Drake,Pink Moon,1
Paper Bag (Album Version),Fiona Apple,When The Pawn...,5
Warning (Explicit Album Version),The Notorious B.I.G.,Greatest Hits,6
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,1
The Hungry Wolf,X,Under The Big Black Sun,1
Watch My Feet,Dude N Nem,Ultimate Workout Vol. 3: Hip-Hop,8
A Milli,Lil Wayne,Tha Carter III,3
Academy Fight Song,Mission of Burma,"Signals, Calls and Marches (Remastered)",1
Dreaming (2001 - Remaster),Blondie,Dreaming,1
Chewing Gum (Vocal mix),Annie,Anniemal,2
Nobody's Fault But Mine,Otis Redding,The Immortal Otis Redding,3
I Love This Bar,Toby Keith,Shock 'N Y'all,1
How I Could Just Kill a Man,Cypress Hill,CYPRESS HILL,2
Fit But You Know It,The Streets,A Grand Don't Come For Free,7
Run,Ghostface Killah,Best Of,1
1 Thing,Amerie,Playlist: The Very Best Of Amerie,3
Milkshake (Album Version),Kelis,The Hits,2
Mama Said Knock You Out,LL Cool J,All World,11
Hippychick,Soho,Goddess,2
Fools Gold (Remastered),The Stone Roses,The Stone Roses (20th Anniversary Legacy Edition),12
Going Underground,The Jam,The Very Best Of The Jam (Digitally Remastered),11
Ambition,Subway Sect,Twenty Odd Years,6
This Charming Man,The Smiths,The Sound Of The Smiths [Deluxe Edition],2
Teenage Kicks,The Undertones,The Undertones,5
Bam Bam,Sister Nancy,One Two,6
Protection,Massive Attack,Protection,1
Aftermath,Tricky,Maxinquaye (Deluxe Edition),6
Rid Of Me,PJ Harvey,Rid Of Me,1
Molly's Lips (BBC John Peel Session 1990),Nirvana,Incesticide,6
Looking From A Hilltop (Megamix),Section 25,Factory Dance,1
King Of The Beats Lesson #1,Mantronix,This Should Move Ya,13
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,3
Coffee And TV (Radio Edit),Blur,Blur: The Best Of,5
Harlem,Bill Withers,Just As I Am,1
Tudo o Que Você Podia Ser,Milton Nascimento,Club Da Esquina 1,1
That's How It Feels (Remastered Single Version),"The Soul Clan feat. Arthur conley, Ben e. King, Solomon Burke, Don Covay & Joe Tex",Only In America: Atlantic Soul Classics,67
Give Me Just A Little More Time,General Johnson & The Chairmen of the Board,Beach Music Anthology,2
Easy,Son Lux,Lanterns,4
R.I.P.,Remarc,R.I.P / Ice Cream & Syrup,1
Marquee Moon,Television,Marquee Moon,4
Moments in Love,Art Of Noise,(Who's Afraid Of) The Art Of Noise?,6
Water Me,FKA twigs,EP2,3
Shake Some Action,The Flamin' Groovies,Shake Some Action,1
What Goes On,The Velvet Underground,The Velvet Underground,2
I'll Be Your Mirror (Album Version (Mono)),The Velvet Underground,The Velvet Underground & Nico (Original Album (Rarities Edition)),9
This Ain't No Picnic,Minutemen,Introducing The Minutemen,21
Cruiser's Creek,The Fall,45 84 89 : A Sides,6
Since U Been Gone,Kelly Clarkson,Breakaway,2
Hard To Explain,The Strokes,Is This It,8
Where I'm From,Jay-Z,In My Lifetime Vol.1,0
Once In A Lifetime (Remastered Version ),Talking Heads,The Best Of Talking Heads,9
Genie In A Bottle (Album Version),Christina Aguilera,Come On Over Baby/Genie In A Bottle,1
Smokestack Lightnin',Howlin' Wolf,From New Orleans,1
Rock Steady,Aretha Franklin,The Best Of Aretha Franklin,5
Jigsaw Puzzle,The Rolling Stones,Beggars Banquet,5
Blue Eyes Crying in the Rain,Willie Nelson,The Essential Willie Nelson,11
Crazy,Patsy Cline,Gold,7
Break Dance-Electric Boogie,West Street Mob,The Sugar Hill Records Story,39
Made You Look,Nas,God's Son,3
Blue Monday,New Order,"Power, Corruption & Lies [Collector's Edition]",9
Still Tippin' [featuring Slim Thug And Paul Wall] (Explicit Version) (feat. Slim Thug And Paul Wall Explicit Version),Mike Jones,Still Tippin' (Explicit DMD Single),1
Bitter Sweet Symphony,The Verve,Urban Hymns,1
Telegram Sam,Bauhaus,Bauhaus - 1979-1983 Volume One,7
Mambo Sun (Remastered Version),T. Rex,Electric Warrior [Expanded & Remastered],1
Broken Language (Radio Edit),Smooth The Hustler,Giant Single: Profile Records Rap Anthology,30
Thinkin Bout You,Frank Ocean,channel ORANGE,2
St Elmo's Fire (2004 Digital Remaster),Brian Eno,Another Green World,3
Aerodynamic,Daft Punk,Discovery,2
Clear,Cybotron,Clear (Remastered),1
You Make Me Feel (Mighty Real),Sylvester,The Original Hits,2
Staring at the Sun,TV On The Radio,Young Liars,2
Blue Moon,Elvis Presley,Fragile - Summer Version,7
Let's Go Swimming,Arthur Russell,World Of Echo,14
Anthrax (Remastered Album Version),Gang Of Four,Entertainment! (Expanded & Remastered),12
"Time (Original 12"" Vocal)",Stone,Time,1
Flim,Aphex Twin,Come To Daddy,2
Butterflies,Michael Jackson,Invincible,7
Let Me Run Into Your Lonely Heart,Eddie Kendricks,"The Eddie Kendricks Collection, Volume 1",9
Strawberry Letter 23,Jackie Brown - Music From The Miramax Motion Picture,Jackie Brown (- Music From The Miramax Motion Picture),3
Schizophrenia,Sonic Youth,Sister,1
No Fun,The Stooges,The Stooges [Deluxe Edition],4
Voodoo Child (Slight Return),Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,15
Only Shallow,My Bloody Valentine,Loveless,1
Grindin' (Main),Clipse,Lord Willin',4
Top Billin (Acapella),Audio Two,What More Can I Say,1
Hang On To Yourself (2002 Remastered Version),David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars [30th Anniversary Edition] (30th Anniversary Edition),8
Cuban Slide (2009 Remastered Version),Pretenders,The Best Of The Pretenders (Digital Version) (US Version),16
The Boy With The Perpetual Nervousness,The Feelies,Crazy Rhythms,1
Why Can't We Live Together,Timmy Thomas,Why Can't We Live Together,1
Hang on to Your Love (Remastered Version),Sade,The Ultimate Collection,3
Mushroom (2011 Remastered),Can,Tago Mago (40th Anniversary Edition),2
Second Bad Vilbel,Autechre,Anvil Vapre,1
"Temptation [7"" Version]",New Order,Movement [Collector's Edition],10
Dream Baby Dream (Single Edit),Suicide,Dream Baby Dream EP,1
Brainfreeze,Fuck Buttons,Slow Focus,1
Situation,Yaz,Upstairs At Eric's,9
Gigantic,Pixies,Surfer Rosa,5
No Scrubs,TLC,Fanmail,5
Apple Pie À La Mode (Album Version),Destiny's Child,Survivor,6
My Little Japanese Cigarette Case,Spoon,Ga Ga Ga Ga Ga,8
"Just Be Good To Me (12"" Vocal Remix)",The S.O.S Band,Best Of,2
Twinz (Deep Cover 98),Big Pun,Capital Punishment (Explicit Version),17
Home Is Where The Hatred Is,Gil Scott-Heron,Pieces Of A Man,4
Do I Move You (Version II),Nina Simone,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,4
Shipbuilding (Remastered in 1998),Robert Wyatt,EPs,6
I Am Not Willing,Moby Grape,Moby Grape 69' (With Bonus Tracks),3
Two Weeks,Grizzly Bear,Two Weeks,1
Never My Love (Re-Recorded / Remastered),The Association,Happy Sounds Of The '60s (Re-Recorded / Remastered Versions),9
Famous Blue Raincoat,Leonard Cohen,The Essential Leonard Cohen,8
Holy Ghost,The Bar-kays,Greatest Hits,5
Honey,Mariah Carey,Greatest Hits,19
Shimmy Shimmy Ya,Ol' Dirty Bastard,Return To The 36 Chambers: The Dirty Version,2
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,Kill Bill Vol. 1 Original Soundtrack,1
Untitled (How Does It Feel) (Edit),D'Angelo,Ultimate D'Angelo,13
End Of The Line (1999 Digital Remaster),Roxy Music,Siren,2
Lay Your Head Down,Keren Ann,Keren Ann,2
Pyramid Song,Radiohead,Amnesiac,2
Joga,Björk,Homogenic,2
Wave,Beck,Morning Phase,7
"Don't Think Twice, It's All Right",Bob Dylan,The Freewheelin' Bob Dylan,7
