Name,Artist,Album,Track Number
You,Gold Panda,Lucky Shiner,1
Remember You (feat. The Weeknd),Wiz Khalifa,Remember You (feat. The Weeknd),1
Blurred Lines,Robin Thicke,Blurred Lines,1
Breaststroke,Mathemagic,Mathemagic EP,5
Snap Backs & Tattoos,Driicky Graham,Snap Backs & Tattoos,1
All You're Waiting For (feat. Nancy Whang),Classixx,Hanging Gardens,2
Hannah Hunt,Vampire Weekend,Modern Vampires of the City,6
Holding On,Classixx,Holding On - Single,1
House Of Jealous Lovers,The Rapture,Echoes,6
Harlem,Bill Withers,Just As I Am,1
