Name,Artist,Album,Track Number
In The Air Tonight,Phil Collins,Face Value,1
Mad World,Tears For Fears,Shout: The Very Best Of Tears For Fears,1
Pretty in Pink,The Psychedelic Furs,Greatest Hits,4
If You Leave,Orchestral Manoeuvres In The Dark,The OMD Singles,11
Don't You (Forget About Me),Simple Minds,Glittering Prize 81/92,2
It's My Life (1997 - Remaster),Talk Talk,It's My Life,4
Invisible Touch,Genesis,Invisible Touch,1
Rio (US Edit),Duran Duran,Greatest,6
Too Shy (Album Version),Kajagoogoo,Guilty Pleasures,10
Every Little Thing She Does Is Magic,The Police,The Police,18
Sweet Dreams (Are Made of This) (Remastered Version),Eurythmics,Sweet Dreams (Are Made Of This),6
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Remastered With Bonus Tracks),3
I Melt With You,Modern English,Pillow Lips,1
Don't You Want Me (2002 - Remaster),The Human League,Don't You Want Me,1
Little Red Corvette,Prince,1999,2
Just Like Heaven,The Cure,Greatest Hits,9
Cruel Summer,Bananarama,Hit Me With Your 80's Box,18
I Can't Go for That (No Can Do) (Remastered),Hall & Oates,The Essential Daryl Hall & John Oates,18
Do You Really Want to Hurt Me (2002 - Remaster),Culture Club,Greatest Hits,1
Down Under,Men At Work,The Best Of Men At Work: Contraband,2
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,10
Burning Down The House (Remastered Version ),Talking Heads,The Best Of Talking Heads,13
Jessie's Girl,Rick Springfield,The Best Of Rick Springfield,1
Take On Me,A-Ha,Hunting High And Low,1
867-5309 / Jenny (Re-Recorded / Remastered),Tommy Tutone,Soundtrack To The '80s (Re-Recorded / Remastered Versions),7
The Reflex,Duran Duran,Greatest,2
Whip It,Devo,Freedom Of Choice,3
What's On Your Mind (Pure Energy),Information Society,Information Society (CD+G),1
Blue Monday,New Order,"Power, Corruption & Lies [Collector's Edition]",9
Cars,Gary Numan,The Pleasure Principle,9
Rock with You (Single Version),Michael Jackson,Number Ones,2
Relax,Frankie Goes To Hollywood,Pure 80's,13
You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,1
New Sensation,INXS,Kick,2
Just Can't Get Enough (Remastered Version),Depeche Mode,The Best Of Depeche Mode Volume 1,2
"Funkytown (12"" Version)",Lipps Inc.,The Casablanca Records Story,2
Into The Groove,Madonna,Celebration (single disc version),7
Safety Dance,Men Without Hats,Gold - New Wave,28
Hungry Like The Wolf,Duran Duran,Greatest,7
P.Y.T. (Pretty Young Thing),Michael Jackson,Thriller,8
Let's Dance (Single Version; 2002 Digital Remaster),David Bowie,Best Of Bowie,14
Break My Stride,Matthew Wilder,I Don't Speak The Language,1
Tainted Love / Where Did Our Love Go (Extended Version),Soft Cell,Non-Stop Erotic Cabaret,11
