Name,Artist,Album,Track Number
Hurting (C2 Runway Edit),Friendly Fires,Hurting,4
Cruel Intentions (Single version),Simian Mobile Disco,Cruel Intentions,1
Last Friday Night (T.G.I.F.) [feat. Missy Elliott],Katy Perry,Teenage Dream: The Complete Confection,18
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),"Lana Del Rey, Cedric Gervais",Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),1
Talk Amongst Yourselves (Sasha Remix),Grand National,"B-Sides, Remixes & Rarities",10
Saturday Night Ate Our Lives,Whitey,Saturday Night Ate Our Lives,1
Perfect,Robert DeLong,Just Movement,10
Marijuana,Chrome Sparks,Sparks EP,2
Look At Where We Are (Major Lazer remix),Hot Chip,Dark and Stormy,8
Hidden Xs,Fuck Buttons,Slow Focus,7
Como Te Vas,Trails And Ways,Trilingual,1
