Name,Artist,Album,Track Number
Wild Ones (feat. Sia),Flo Rida,Wild Ones (feat. Sia),1
Sexy And I Know It,LMFAO,Sorry For Party Rocking,4
Shots,LMFAO feat. Lil Jon,Ultra Weekend 6,7
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,1
Somebody That I Used To Know,Gotye,Making Mirrors,3
Mercy,Kanye West,Mercy,1
Want U Back,Cher Lloyd,Want U Back,1
Where Have You Been,Rihanna,Talk That Talk (Deluxe Explicit Edition),2
What Makes You Beautiful,One Direction,Up All Night,1
Scream,Usher,Looking 4 Myself (Deluxe Version),2
We Run The Night,Havana Brown,We Run The Night,1
Boyfriend,Justin Bieber,Boyfriend,1
Say Yeah,Wiz Khalifa,Say Yeah,2
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa","Young, Wild & Free (feat. Bruno Mars)",1
Die Young,Ke$ha,Warrior (Deluxe Version),2
Dancehall Queen,Robyn,Body Talk,12
I Gotta Feeling,The Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),5
Ride Wit Me,Nelly,Country Grammar,7
Stardust,Mika,The Origin Of Love (US Deluxe Version),3
Overrated,Mika,The Origin Of Love (US Deluxe Version),6
Crazy Kids,Ke$ha,Warrior (Deluxe Version),5
You Make Me Feel...(feat. Sabi),Cobra Starship,You Make Me Feel... (feat. Sabi),1
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,3
This Is How We Do It,Montell Jordan,This Is How We Do It,3
Yeah!,Usher,Confessions,2
Rock Your Body,Justin Timberlake,Justified,6
Dirt Off Your Shoulder,Jay-Z,The Black Album 2,6
What Happened To That Boy,Baby,Birdman,10
Everyone Falls In Love (Album Version),"Tanto Metro, Devonte",Everyone Falls In Love,1
Who Am I,Beenie Man,From Kingston To King of the Dancehall: A Collection of Dancehall Favorites,1
All The Above (feat. T-Pain),Maino,If Tomorrow Comes...,7
Turn Me On (feat. Nicki Minaj),David Guetta,Nothing But the Beat 2.0,2
E.I.,Nelly,Country Grammar,8
Country Grammar (Hot...),Nelly,Country Grammar,4
