Name,Artist,Album,Track Number
I Found A New Way,Twin Peaks,Wild Onion,1
Now Run and Tell That,Denise La Salle,On The Loose / Trapped By A Thing Called Love,13
Loran's Dance,Idris Muhammad,Power Of Soul,4
The World (Is Going Up In Flames),"Charles Bradley, Menahan Street Band",No Time For Dreaming (Re-issue),1
I Wanna Get Better,Bleachers,I Wanna Get Better,1
"I Know, Didn't I (feat. Darondo)","Slimkid3 & DJ Nu-Mark, Slimkid3, DJ Nu-Mark",Slimkid3 & DJ Nu-Mark,3
Baltimore,Nina Simone,Baltimore,1
I Wish I Knew How It Would Feel to Be Free,Nina Simone,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,10
How Can You Swallow So Much Sleep,Bombay Bicycle Club,A Different Kind Of Fix,1
Nancy From Now On,Father John Misty,Fear Fun,2
Since I Fell for You,Nina Simone,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,2
"Ain't Got No - I Got Life (From the Musical Production ""Hair"")",Nina Simone,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,18
Montezuma,Fleet Foxes,Helplessness Blues,1
You And I,Wilco,Wilco [the album],5
Near Death Experience Experience,Andrew Bird,Break It Yourself,7
Seasons (Waiting On You),Future Islands,Singles,1
It’s Never Over (Hey Orpheus),Arcade Fire,Reflektor,10
Your Blood,Destroyer,Destroyer's Rubies,2
Paper Heart,St. Lucia,St. Lucia,5
Money On My Mind,Sam Smith,In The Lonely Hour (Deluxe Edition),1
Fall Back 2U,Chromeo,White Women,12
Long Distance Call,Phoenix,It's Never Been Like that,4
Strict Machine,Goldfrapp,Black Cherry,8
Keep On Shining,Curtis Harding,Soul Power,3
Passing Out Pieces,Mac Demarco,Salad Days,7
Under The Pressure,The War On Drugs,Lost in the Dream,1
Wings (New Version),Haerts,Wings,1
Drops,Jungle,Jungle,5
Mi Mujer,Nicolas Jaar,Time for Us,2
Monument,Röyksopp & Robyn,Do It Again,1
Girls Just Want To Have Fun,STRFKR,Starfucker Jupiter (2012),6
Lost In My Bedroom,Sky Ferreira,Ghost EP,2
I Blame Myself,Sky Ferreira,"Night Time, My Time",5
Warm Heart Of Africa (Architecture In Helsinki Remix),The Very Best,The Very Best Remixes Of The Very Best,2
Land Of 1000 Dances,Wilson Pickett,Pick It Wilson,14
Everyday Robots,Damon Albarn,Everyday Robots,1
Foxes Mate For Life,Born Ruffians,"Red, Yellow & Blue",7
I Don't Believe You,The Magnetic Fields,i,2
I'll Be Around,Yo La Tengo,Fade,6
Cold Nites,How To Dress Well,Total Loss,2
Holy Roller,Thao & The Get Down Stay Down,We the Common,5
Anything Could Happen,Ellie Goulding,Halcyon Days,3
Important,Way Yes,Walkability,2
Breezeblocks,alt-J,An Awesome Wave,4
Dark Doo Wop,MS MR,Secondhand Rapture,5
The Man Who Lives Forever,Lord Huron,Lonesome Dreams,7
Kisses Kisses Kisses,The Sex Sound Effects Company,Sex Sound Effects,14
Two Cousins,Slow Club,Paradise,1
& It Was U,How To Dress Well,Total Loss,5
Stupid,Bobby Womack,The Bravest Man In The Universe,7
Second Hand News,Fleetwood Mac,Rumours,1
Please Forgive My Heart,Bobby Womack,Please Forgive My Heart,1
La Forêt,Lescop,Lescop,1
A Nervous Tic Motion of the Head to the Left,Andrew Bird,Fingerlings 3,6
Young Blood,Birdy,Birdy (Deluxe Version),7
jasmine (demo),Jai Paul,jasmine (demo),1
I Follow Rivers (The Magician Remix),Lykke Li,I Follow Rivers (The Magician Remix),1
So Good At Being in Trouble,Unknown Mortal Orchestra,II,3
Cannons,Youth Lagoon,The Year Of Hibernation,2
Budapest,George Ezra,Did You Hear the Rain?,1
Iron Sky,Paolo Nutini,Caustic Love,8
I Got You (I Feel Good),James Brown & The Famous Flames,I Got You (I Feel Good),1
Think (Live At The Apollo Theater/1962),James Brown & The Famous Flames,"James Brown Live At The Apollo, 1962",5
This Old Heart Of Mine (Is Weak For You) (Single Version (Mono)),The Isley Brothers,The Best Of The Early Years,9
Henrietta,Yeasayer,Fragrant World,4
1517,The Whitest Boy Alive,1517,1
Coffee,Sylvan Esso,Sylvan Esso,7
I Can Change,LCD Soundsystem,This Is Happening,5
Après toi,JP Nataf,Clair,6
Tiro Ao Álvaro (feat. Elis Regina),Adoniran Barbosa,Talento,1
La chaleur,Bertrand Belin,Hypernuit (Deluxe Edition),11
You Are - I Am,Manfred Mann's Earth Band,Angel Station,7
Stud-Spider,Tony Joe White,Tony Joe,1
Avril 14th,Aphex Twin,Drukqs,9
Big Blow,Manu Dibango,The Very Best Of Manu Dibango:  Afro Soul Jazz From The Original Makossa Man,11
1998,Chet Faker,Built on Glass,9
The Bad In Each Other,Feist,Metals,1
I Heard,Young Fathers,Tape Two,1
Way Down in the Hole,Young Fathers,Tape Two,8
NEW DORP. NEW YORK,SBTRKT,NEW DORP. NEW YORK,1
"Darling, It's Alright",Francis And The Lights,It'll Be Better,5
Go With It,TOKiMONSTA,Half Shadows,7
lovers’ carvings,Bibio,Ambivalence Avenue,7
Baby,Ariel Pink's Haunted Graffiti,Mature Themes,13
Daydreaming,Dark Dark Dark,Wild Go,2
Origins,Tennis,Young & Old,2
Bones,Michael Kiwanuka,Home Again,6
The Book Of Love,The Magnetic Fields,69 Love Songs,12
The Ghetto,Donny Hathaway,Everything Is Everything,8
Pretty Boy,Young Galaxy,Pretty Boy,1
Crystalfilm,Little Dragon,Ritual Union,6
