Name,Artist,Album,Track Number
Stay With You (Radio Version),Lemon Jelly,Stay With You,1
Ow!,Depressed Buttons,Qwerty,1
Spock,Vcmg,EP 1 / Spock,1
Peace Pt 1,DJ Food,Ninja Tune Retrospect (No. 1),12
The King of Dance,Jazztronik,Love Tribe,2
Sleep Deprivation,Simian Mobile Disco,Attack Decay Sustain Release,1
Bounce (Radio Edit),Calvin Harris,18 Months,2
Stuck On Repeat,Little Boots,Hands,3
I Need Air,Magnetic Man,Magnetic Man,3
Number 1,Goldfrapp,The Singles,2
I Love It (feat. Charli XCX) [Sick Individuals Remix] (feat. Charli XCX),Icona Pop,I Love It (Remixes Pt. 2),2
S'eteint Le Soleil,Yelle,Safari Disco Club,11
