Name,Artist,Album,Track Number
Fall Over,Banks,Fall Over,1
Lies,CHVRCHES,The Bones Of What You Believe (Special Edition),5
Night Sky,CHVRCHES,The Bones Of What You Believe (Special Edition),8
Royals,Lorde,Pure Heroine,3
Water Me,FKA twigs,Water Me,1
Mysterons,Portishead,Dummy (Non UK Version),1
Roads,Portishead,Dummy (Non UK Version),8
The Rip,Portishead,Third (Non EU Version),4
Born To Die,Lana Del Rey,Born To Die (Deluxe Version),1
Young And Beautiful,Lana Del Rey,Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition),3
Teardrop,Massive Attack,Mezzanine,3
"Your Drums, Your Love",AlunaGeorge,Body Music,4
Wildfire (feat. Little Dragon),SBTRKT,SBTRKT,3
