Name,Artist,Album,Track Number
Under the Bridge,Piano Tribute Players,Tribute to Red Hot Chili Peppers,1
Californication,Piano Tribute Players,Tribute to Red Hot Chili Peppers,2
Scar Tissue,Piano Tribute Players,Tribute to Red Hot Chili Peppers,3
Otherside,Piano Tribute Players,Tribute to Red Hot Chili Peppers,5
Give It Away,Piano Tribute Players,Tribute to Red Hot Chili Peppers,6
Can't Stop,Piano Tribute Players,Tribute to Red Hot Chili Peppers,7
Soul to Squeeze,Piano Tribute Players,Tribute to Red Hot Chili Peppers,8
By The Way,Piano Tribute Players,Tribute to Red Hot Chili Peppers,9
Snow (Hey Oh),Piano Tribute Players,Tribute to Red Hot Chili Peppers,10
Gogol,Chilly Gonzales,Solo Piano,1
Manifesto,Chilly Gonzales,Solo Piano,2
Overnight,Chilly Gonzales,Solo Piano,3
Bermuda Triangle,Chilly Gonzales,Solo Piano,4
Dot,Chilly Gonzales,Solo Piano,5
Armellodie,Chilly Gonzales,Solo Piano,6
Carnivalse,Chilly Gonzales,Solo Piano,7
Meischeid,Chilly Gonzales,Solo Piano,8
Paristocrats,Chilly Gonzales,Solo Piano,9
Gentle Threat,Chilly Gonzales,Solo Piano,10
The Tourist,Chilly Gonzales,Solo Piano,11
Salon Saloon,Chilly Gonzales,Solo Piano,12
Oregano,Chilly Gonzales,Solo Piano,13
Basmati,Chilly Gonzales,Solo Piano,14
CM Blues,Chilly Gonzales,Solo Piano,15
One Note At A Time,Chilly Gonzales,Solo Piano,16
White Keys,Chilly Gonzales,Solo Piano II,1
Kenaston,Chilly Gonzales,Solo Piano II,2
Minor Fantasy,Chilly Gonzales,Solo Piano II,3
Escher,Chilly Gonzales,Solo Piano II,4
Rideaux Lunaires,Chilly Gonzales,Solo Piano II,5
Nero's Nocturne,Chilly Gonzales,Solo Piano II,6
Venetian Blinds,Chilly Gonzales,Solo Piano II,7
Evolving Doors,Chilly Gonzales,Solo Piano II,8
Epigram in E,Chilly Gonzales,Solo Piano II,9
Othello,Chilly Gonzales,Solo Piano II,10
Train of Thought,Chilly Gonzales,Solo Piano II,11
Wintermezzo,Chilly Gonzales,Solo Piano II,12
La Bulle,Chilly Gonzales,Solo Piano II,13
Papa Gavotte,Chilly Gonzales,Solo Piano II,14
Love Will Tear Us Apart,Nouvelle Vague,Nouvelle Vague,1
Just Can't Get Enough,Nouvelle Vague,Nouvelle Vague,2
In A Manner Of Speaking,Nouvelle Vague,Nouvelle Vague,3
Guns Of Brixton,Nouvelle Vague,Nouvelle Vague,4
This Is Not a Love Song,Nouvelle Vague,Nouvelle Vague,5
Too Drunk to Fuck,Nouvelle Vague,Nouvelle Vague,6
Marian,Nouvelle Vague,Nouvelle Vague,7
Making Plans for Nigel,Nouvelle Vague,Nouvelle Vague,8
A Forest,Nouvelle Vague,Nouvelle Vague,9
I Melt with You,Nouvelle Vague,Nouvelle Vague,10
Teenage Kicks,Nouvelle Vague,Nouvelle Vague,11
Psyche,Nouvelle Vague,Nouvelle Vague,12
"Friday Night, Saturday Morning",Nouvelle Vague,Nouvelle Vague,13
Sorry for Laughing,Nouvelle Vague,Nouvelle Vague,14
What I Like Most About You Is Your Girlfriend,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),1
Come On Eileen,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),2
Baby,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),3
Unless,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),4
San Francisco Is A Lonely Town,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),5
Movement Of Fear,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),6
Chaos,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),7
Urban Serenade,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),8
And I Love Him,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),9
The Vespertine Park,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),10
A Fire In The Forest,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),11
Civilization,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),12
You're My Thrill,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),13
By the Time I Get to Phoenix,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),14
Le Poisson Des Mers Du Sud,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),15
The Last Trick,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),16
Nicole,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),17
Pheonix,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),18
You And Your Sister,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),19
Lonely Girl (2002 - Remaster),Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),20
What I Ate,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),21
Nouvelle Vague Late Night Tales Continuous Mix,Nouvelle Vague,Late Night Tales: Nouvelle Vague (Remastered),22
The Killing Moon,Nouvelle Vague,Bande A Part,1
Ever Fallen In Love,Nouvelle Vague,Bande A Part,2
Dance With Me,Nouvelle Vague,Bande A Part,3
Don't Go,Nouvelle Vague,Bande A Part,4
Dancing With Myself,Nouvelle Vague,Bande A Part,5
Pride - In The Name Of Love,Nouvelle Vague,Bande A Part,6
O Pamela,Nouvelle Vague,Bande A Part,7
Heart Of Glass,Nouvelle Vague,Bande A Part,8
Confusion,Nouvelle Vague,Bande A Part,9
Human Fly,Nouvelle Vague,Bande A Part,10
Bela Lugosi's Dead,Nouvelle Vague,Bande A Part,11
Shack Up,Nouvelle Vague,Bande A Part,12
Let Me Go,Nouvelle Vague,Bande A Part,13
Fade To Grey,Nouvelle Vague,Bande A Part,14
Moody (U.S. Bonus Track),Nouvelle Vague,Bande A Part,15
Sweet And Tender Hooligan (U.S. Bonus Track),Nouvelle Vague,Bande A Part,16
Blue Monday (U.S. Bonus Track),Nouvelle Vague,Bande A Part,17
Master And Servant (feat. Martin Gore),Nouvelle Vague,3 (USA Tour Edition),1
Blister In The Sun,Nouvelle Vague,3 (USA Tour Edition),2
Road To Nowhere,Nouvelle Vague,3 (USA Tour Edition),3
All My Colours,Nouvelle Vague,3 (USA Tour Edition),4
The American,Nouvelle Vague,3 (USA Tour Edition),5
Heaven,Nouvelle Vague,3 (USA Tour Edition),6
Parade (feat. Barry Adamson),Nouvelle Vague,3 (USA Tour Edition),7
Metal,Nouvelle Vague,3 (USA Tour Edition),8
Ca Plane Pour Moi,Nouvelle Vague,3 (USA Tour Edition),9
Our Lips Are Sealed,Nouvelle Vague,3 (USA Tour Edition),10
God Save The Queen,Nouvelle Vague,3 (USA Tour Edition),11
Say Hello Wave Goodbye,Nouvelle Vague,3 (USA Tour Edition),12
So Lonely,Nouvelle Vague,3 (USA Tour Edition),13
Not Knowing,Nouvelle Vague,3 (USA Tour Edition),14
Get A Grip On Yourself,Nouvelle Vague,3 (USA Tour Edition),15
Such A Shame,Nouvelle Vague,3 (USA Tour Edition),16
Say It Ain't So,Piano Tribute Players,Piano Tribute to Weezer,1
Marry You,Piano Tribute Players,Piano Tribute to Bruno Mars,3
Island In The Sun,Piano Tribute Players,Piano Tribute to Weezer,2
Buddy Holly,Piano Tribute Players,Piano Tribute to Weezer,5
Undone (The Sweater Song),Piano Tribute Players,Piano Tribute to Weezer,8
My Name is Jonas,Piano Tribute Players,Piano Tribute to Weezer,9
Just The Way You Are,Piano Tribute Players,Piano Tribute to Bruno Mars,1
Nothing On You,Piano Tribute Players,Piano Tribute to Bruno Mars,5
Just Dance,Piano Tribute Players,Piano Tribute to Lady GaGa,2
Only in Dreams,Piano Tribute Players,Piano Tribute to Weezer,11
Call Me Maybe,Piano Tribute Players,35 Piano Pop Hits of 2012,1
Bad Romance,Piano Tribute Players,Piano Tribute to Lady GaGa,6
I Kissed A Girl (Live),Katy Perry,Unplugged,1
