Name,Artist,Album,Track Number
Till the World Ends,Britney Spears,Femme Fatale (Deluxe Version),1
Die Young,Ke$ha,Warrior (Deluxe Version),2
Applause,Lady Gaga,Applause,1
Toxic,Britney Spears,In The Zone,6
E.T. (feat. Kanye West),Katy Perry,Teenage Dream: The Complete Confection,17
Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,14
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,3
Just Dance,Lady Gaga,The Fame,1
I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),4
We Found Love,Rihanna,We Found Love,1
S&M,Rihanna,Loud,1
Only Girl (In The World),Rihanna,Loud,5
Promiscuous,Nelly Furtado,Loose,4
Maneater,Nelly Furtado,Loose,2
Waking Up In Vegas,Katy Perry,One Of The Boys,3
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,9
