Name,Artist,Album,Track Number
Notorious Thugs [Featuring Bone Thugs and Harmony] (Explicit Album Version) (feat. Bone Thugs and Harmony Explicit),The Notorious B.I.G.,Greatest Hits,10
Hello Brooklyn 2.0,Jay-Z,American Gangster,4
Rollup (Baauer Remix) (Baauer Remix),Flosstradamus,All Trap Music,3
Goldie,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),2
Snap Backs & Tattoos,Driicky Graham,Snap Backs & Tattoos,1
Lemonade,Gucci Mane,The State vs. Radric Davis (Deluxe),6
Oh Yes,Juelz Santana,What The Game's Been Missing!,3
Backseat Freestyle,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",3
Go DJ,Lil Wayne,Tha Carter,2
"Pledge Of Allegiance (feat. Wiz Khalifa, Planet VI & B.O.B.)","DJ Drama, Wiz Khalifia, Planet VI, B.O.B.",Quality Street Music,11
Heart Of The City (Ain't No Love),Jay-Z,The Blueprint,8
Xxplosive,Dr. Dre,2001,6
"F**kin' Problems [feat. Drake, 2 Chainz & Kendrick Lamar]",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),7
m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",8
On My Level (feat. Too $hort),Wiz Khalifa,Rolling Papers,2
Hypnotize,The Notorious B.I.G.,Life After Death (Deluxe Version),3
Hustlin',Rick Ross,Port Of Miami,4
What's Up Fatlip,Fatlip,The Loneliest Punk,18
From The Back (Lunice Remix) (Lunice Remix),Flosstradamus feat. Danny Brown,All Trap Music,7
Shine Blockas Remix,Big Boi,Sir Lucious Left Foot...The Son Of Chico Dusty (Deluxe Edition (Explicit)),17
A Milli,Lil Wayne,Tha Carter III,3
Detroit State of Mind,Elzhi,Elmatic,2
Hands On The Wheel,Schoolboy Q,Hands On The Wheel,1
No Hands (feat. Roscoe Dash and Wale) [Explicit Album Version],Waka Flocka Flame,Flockaveli,5
Swimming Pools (Drank) (Extended Version),Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",9
Celebration,A$AP Rocky,We Turnt Up Vol 6,14
Ms. Rightfernow,Wiz Khalifa,Flight School,2
Bang,Rye Rye,Bang,1
Rolex,The-Dream,Terius Nash : 1977,6
Mercy,Kanye West,Mercy,1
"Stupid Wild (feat. Lil Wayne, Cam'Ron)",Gucci Mane,The State vs. Radric Davis (Deluxe),4
Druggys WitH Hoes Again,Schoolboy Q,Druggys WitH Hoes Again (feat. Ab-Soul) - Single,1
Let Me See The Booty (Album Version (Edited)),The-Dream,Love Vs Money,14
Nothin On Ya [feat. Wiz Khalifa],Gucci Mane,Trap God 2,3
The Way We Ride,T.I.,Trouble Man: Heavy is the Head,10
How Low,Ludacris,Battle Of The Sexes (Deluxe Edition),2
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Dj Khaled,Victory,2
Booty in the Air,Das Racist,Relax,8
Neighborhood Hoez,Freddie Gibbs,Cold Day In Hell,14
Capitol (feat. 2 Chainz),Curren$y,The Stoned Immaculate,6
Rubber Band Man [Explicit + Buster Skit],T.I.,Trap Muzik,8
Clique,"Kanye West, Jay-Z & Big Sean",Clique,1
Get Back,Ludacris,The Red Light District,3
Bounce It (Explicit Version),Juicy J,Stay Trippy,5
I'm On One,Dj Khaled,We The Best Forever,1
And Then What ((Explicit)),Young Jeezy,Go Getta Hit Pack,2
For Real,Rittz,The Life and Times of Jonny Valiant (Deluxe Edition),10
