Name,Artist,Album,Track Number
B.O.B.,Outkast,Stankonia,11
The Symphony,"Marley Marl, Masta Ace, Craig G, Kool G Rap, Big Daddy Kane",Best of Old School Hip-Hop,7
That's The Joint,Funky 4 + 1,The Sugar Hill Records Story,12
Push It,Salt-N-Pepa,The Best Of Salt-N-Pepa 20th Century Masters The Millennium Collection,1
Lost Ones,Lauryn Hill,The Miseducation of Lauryn Hill,2
"Me, Myself & I",De La Soul,Classic Hip-Hop,4
South Bronx,Boogie Down Productions,Criminal Minded,2
The Breaks,Kurtis Blow,The Best Of Kurtis Blow,1
My Name Is,Eminem,Curtain Call,4
Get U Freak On,Missy Elliot,Ouragan (By Cut Killer),10
It Was A Good Day (Album Version),Ice Cube,The Essentials,6
Rosa Parks,Outkast,Aquemini,3
"Shook Ones, Pt. II",Mobb Deep,The Infamous,15
P.S.K. 'What Does It Mean'?,Schoolly d,Best Of Schoolly D,1
99 Problems,Jay-Z,The Black Album 2,9
Jesus Walks (Live Version),Kanye West,Jesus Walks (Live Version),1
N.Y. State of Mind,Nas,Greatest Hits,5
Hypnotize (Soundtrack Version),NOTORIOUS Music From and Inspired by the Original Motion Picture,NOTORIOUS Music From and Inspired by the Original Motion Picture,2
Mama Said Knock You Out,LL Cool J,Mama Said Knock You Out,8
Lose Yourself,Eminem,Lose Yourself,1
"Flava In Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Craig Mack,Flava In Ya Ear Remix,2
Ain't No Half-Steppin (Originally Performed By Big Daddy Kane),Liquid Audio,Old School Rap Instrumentals Vol. 4,3
It Takes Two,"Rob Base, DJ EZ Rock",Profilin': The Hits,1
I Know You Got Soul,Eric B. & Rakim,Paid In Full,4
Strictly Business,EPMD,Strictly Business,1
Rock The Bells,LL Cool J,Radio,7
In Da Club,50 Cent,Get Rich Or Die Tryin',5
Paul Revere,Beastie Boys,Licensed To Ill,9
Dear Mama (Remix (Explicit)),2Pac,The Best of 2Pac - Pt. 1: Thug,10
Peter Piper,Run-D.M.C.,Ultimate Run Dmc,9
Big Pimpin',Jay-Z,The Hits Collection Volume One (Deluxe Edition (Explicit)),14
Fuck Tha Police,N.W.A,Straight Outta Compton (2002 - Remaster),2
Rebel Without A Pause,Public Enemy,It Takes A Nation Of Millions To Hold Us Back,14
La-Di-Da-Di,Slick Rick,The Art Of Storytelling,23
They Reminisce Over You (T.R.O.Y.),"C.L. Smooth, Pete Rock",Classic Hip-Hop,11
C.R.E.A.M.,Wu-Tang Clan,Enter The Wu-Tang,8
Paid In Full,Eric B. & Rakim,Paid In Full (Deluxe Edition),6
Dope Man (Edited) (2002 Digital Remaster) (Edited;2002 Digital Remaster),N.W.A,Straight Outta Compton,10
Juicy,The Notorious B.I.G.,Ready To Die The Remaster,10
Fight The Power,Public Enemy,Def Jam Music Group Tenth Year Anniversary Box Set,30
Mind Playing Tricks on Me,Geto Boys,Rap a Lot Greatest Hits,1
Sucker M.C.'s (Krush-Groove 1),Run-D.M.C.,Discover Beyond,5
Don't Stop...Planet Rock (Original Vocal Version),Afrika Bambaataa,Rhino Hi-Five: Afrika Bambaataa,1
Rapper's Delight,The Sugarhill Gang,Rhino Hi-Five: The Sugarhill Gang,1
Scorpio,Grandmaster Flash & The Furious Five,The Message,3
