Name,Artist,Album,Track Number
Geri,Superhumanoids,Geri,1
A Real Hero,College,A Real Hero EP,1
Cameras,Matt and Kim,Sidewalks,3
1517,The Whitest Boy Alive,Rules,7
Can You Tell,Ra Ra Riot,The Last Song,6
Green Valley,Calvin Harris,18 Months,1
Gravitas,Little People,Mickey Mouse Operation,14
Don't You Evah,Spoon,Ga Ga Ga Ga Ga,4
Finally Moving (James Brown Remix),Pretty Lights,Alpine Grooves Vol. 3 (Kristallhütte),1
Hotwax,Beck,Odelay,2
Home,Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,6
Ramblin' Man,Lemon Jelly,Lost Horizons,3
Bury Us Alive,STRFKR,Reptilians [Deluxe Edition],3
Born,STRFKR,Reptilians [Deluxe Edition],1
Ego Tripping At The Gates Of Hell,The Flaming Lips,Yoshimi Battles The Pink Robots,6
Approaching Pavonis Mons By Balloon (Utopia Planitia),The Flaming Lips,Yoshimi Battles The Pink Robots,11
Mind Mischief,Tame Impala,Lonerism,4
Feels Like We Only Go Backwards,Tame Impala,Lonerism,7
Say Yes (feat. ASM),Wax Tailor,In The Mood For Life,17
Dragon Chasers (feat. Charlotte Savary),Wax Tailor,In The Mood For Life,2
The Theory Of Relativity,Stars,The North,1
Over My Shoulder,Paul Banks,Banks,2
Tongue Tied,Grouplove,Never Trust A Happy Song,2
